slug,path,family,title,meta_title,meta_description,summary,jurisdiction,primary_source_id,source_category,priority,batch_status,needs_official_source_block,needs_cross_site_handoff,canonical_domain,parent_project_slug,primary_intent,secondary_source_ids,must_link_to,template_id,thin_page_risk,minimum_unique_blocks,parent_approved_document
common-building-regs-mistakes-single-storey-extension,/questions/common-building-regs-mistakes-single-storey-extension/,programmatic_question_page,Common building regulations mistakes with Single-storey extension,Common building regulations mistakes with Single-storey ex,"Avoid the common paperwork, inspection, structure, fire-safety and certificate mistakes on single-storey extension.","Avoid the common paperwork, inspection, structure, fire-safety and certificate mistakes on single-storey extension.",England-first,govuk_building_regs_approval,,,batch_5_seo_route_candidate,,,,single-storey-extension-building-regulations,homeowner_pre_project_check,govuk_building_regs_how_to_apply;govuk_approved_documents_collection,/projects/single-storey-extension-building-regulations/;/tools/building-control-route-checker/;/downloads/,question_project_template_v1,medium,"project red flags, route advice, likely inspections, evidence checklist, source notice",
do-i-need-building-regulations-for-two-storey-extension,/questions/do-i-need-building-regulations-for-two-storey-extension/,programmatic_question_page,Do I need building regulations for Two-storey extension?,Do I need building regulations for Two-storey extension?,"Check whether two-storey extension usually needs building regulations approval, what route is safest, and what evidence to keep.","Check whether two-storey extension usually needs building regulations approval, what route is safest, and what evidence to keep.",England-first,govuk_building_regs_approval,,,batch_5_seo_route_candidate,,,,two-storey-extension-building-regulations,homeowner_pre_project_check,govuk_building_regs_how_to_apply;govuk_approved_documents_collection,/projects/two-storey-extension-building-regulations/;/tools/building-control-route-checker/;/downloads/,question_project_template_v1,medium,"project red flags, route advice, likely inspections, evidence checklist, source notice",
building-notice-or-full-plans-for-two-storey-extension,/questions/building-notice-or-full-plans-for-two-storey-extension/,programmatic_question_page,Building notice or full plans for Two-storey extension?,Building notice or full plans for Two-storey extension?,"Compare building notice and full plans routes for two-storey extension, with red flags that should push the project toward full plans.","Compare building notice and full plans routes for two-storey extension, with red flags that should push the project toward full plans.",England-first,govuk_building_regs_approval,,,batch_5_seo_route_candidate,,,,two-storey-extension-building-regulations,homeowner_pre_project_check,govuk_building_regs_how_to_apply;govuk_approved_documents_collection,/projects/two-storey-extension-building-regulations/;/tools/building-control-route-checker/;/downloads/,question_project_template_v1,medium,"project red flags, route advice, likely inspections, evidence checklist, source notice",
building-control-inspections-for-two-storey-extension,/questions/building-control-inspections-for-two-storey-extension/,programmatic_question_page,Building control inspections for Two-storey extension,Building control inspections for Two-storey extension,"See the likely inspection stages for two-storey extension, what to prepare before each visit, and what proof to keep.","See the likely inspection stages for two-storey extension, what to prepare before each visit, and what proof to keep.",England-first,govuk_building_regs_approval,,,batch_5_seo_route_candidate,,,,two-storey-extension-building-regulations,homeowner_pre_project_check,govuk_building_regs_how_to_apply;govuk_approved_documents_collection,/projects/two-storey-extension-building-regulations/;/tools/building-control-route-checker/;/downloads/,question_project_template_v1,medium,"project red flags, route advice, likely inspections, evidence checklist, source notice",
completion-certificate-for-two-storey-extension,/questions/completion-certificate-for-two-storey-extension/,programmatic_question_page,Completion certificate for Two-storey extension,Completion certificate for Two-storey extension,"Understand how the completion certificate stage normally works for two-storey extension, what can delay it, and how to avoid missing documents.","Understand how the completion certificate stage normally works for two-storey extension, what can delay it, and how to avoid missing documents.",England-first,govuk_building_regs_approval,,,batch_5_seo_route_candidate,,,,two-storey-extension-building-regulations,homeowner_pre_project_check,govuk_building_regs_how_to_apply;govuk_approved_documents_collection,/projects/two-storey-extension-building-regulations/;/tools/building-control-route-checker/;/downloads/,question_project_template_v1,medium,"project red flags, route advice, likely inspections, evidence checklist, source notice",
what-documents-do-i-need-for-two-storey-extension,/questions/what-documents-do-i-need-for-two-storey-extension/,programmatic_question_page,What documents do I need for Two-storey extension?,What documents do I need for Two-storey extension?,"Prepare drawings, calculations, certificates, installer details and evidence for two-storey extension.","Prepare drawings, calculations, certificates, installer details and evidence for two-storey extension.",England-first,govuk_building_regs_approval,,,batch_5_seo_route_candidate,,,,two-storey-extension-building-regulations,homeowner_pre_project_check,govuk_building_regs_how_to_apply;govuk_approved_documents_collection,/projects/two-storey-extension-building-regulations/;/tools/building-control-route-checker/;/downloads/,question_project_template_v1,medium,"project red flags, route advice, likely inspections, evidence checklist, source notice",
common-building-regs-mistakes-two-storey-extension,/questions/common-building-regs-mistakes-two-storey-extension/,programmatic_question_page,Common building regulations mistakes with Two-storey extension,Common building regulations mistakes with Two-storey exten,"Avoid the common paperwork, inspection, structure, fire-safety and certificate mistakes on two-storey extension.","Avoid the common paperwork, inspection, structure, fire-safety and certificate mistakes on two-storey extension.",England-first,govuk_building_regs_approval,,,batch_5_seo_route_candidate,,,,two-storey-extension-building-regulations,homeowner_pre_project_check,govuk_building_regs_how_to_apply;govuk_approved_documents_collection,/projects/two-storey-extension-building-regulations/;/tools/building-control-route-checker/;/downloads/,question_project_template_v1,medium,"project red flags, route advice, likely inspections, evidence checklist, source notice",
do-i-need-building-regulations-for-loft-conversion,/questions/do-i-need-building-regulations-for-loft-conversion/,programmatic_question_page,Do I need building regulations for Loft conversion?,Do I need building regulations for Loft conversion?,"Check whether loft conversion usually needs building regulations approval, what route is safest, and what evidence to keep.","Check whether loft conversion usually needs building regulations approval, what route is safest, and what evidence to keep.",England-first,govuk_building_regs_approval,,,batch_5_seo_route_candidate,,,,loft-conversion-building-regulations,homeowner_pre_project_check,govuk_building_regs_how_to_apply;govuk_approved_documents_collection,/projects/loft-conversion-building-regulations/;/tools/building-control-route-checker/;/downloads/,question_project_template_v1,medium,"project red flags, route advice, likely inspections, evidence checklist, source notice",
building-notice-or-full-plans-for-loft-conversion,/questions/building-notice-or-full-plans-for-loft-conversion/,programmatic_question_page,Building notice or full plans for Loft conversion?,Building notice or full plans for Loft conversion?,"Compare building notice and full plans routes for loft conversion, with red flags that should push the project toward full plans.","Compare building notice and full plans routes for loft conversion, with red flags that should push the project toward full plans.",England-first,govuk_building_regs_approval,,,batch_5_seo_route_candidate,,,,loft-conversion-building-regulations,homeowner_pre_project_check,govuk_building_regs_how_to_apply;govuk_approved_documents_collection,/projects/loft-conversion-building-regulations/;/tools/building-control-route-checker/;/downloads/,question_project_template_v1,medium,"project red flags, route advice, likely inspections, evidence checklist, source notice",
building-control-inspections-for-loft-conversion,/questions/building-control-inspections-for-loft-conversion/,programmatic_question_page,Building control inspections for Loft conversion,Building control inspections for Loft conversion,"See the likely inspection stages for loft conversion, what to prepare before each visit, and what proof to keep.","See the likely inspection stages for loft conversion, what to prepare before each visit, and what proof to keep.",England-first,govuk_building_regs_approval,,,batch_5_seo_route_candidate,,,,loft-conversion-building-regulations,homeowner_pre_project_check,govuk_building_regs_how_to_apply;govuk_approved_documents_collection,/projects/loft-conversion-building-regulations/;/tools/building-control-route-checker/;/downloads/,question_project_template_v1,medium,"project red flags, route advice, likely inspections, evidence checklist, source notice",
completion-certificate-for-loft-conversion,/questions/completion-certificate-for-loft-conversion/,programmatic_question_page,Completion certificate for Loft conversion,Completion certificate for Loft conversion,"Understand how the completion certificate stage normally works for loft conversion, what can delay it, and how to avoid missing documents.","Understand how the completion certificate stage normally works for loft conversion, what can delay it, and how to avoid missing documents.",England-first,govuk_building_regs_approval,,,batch_5_seo_route_candidate,,,,loft-conversion-building-regulations,homeowner_pre_project_check,govuk_building_regs_how_to_apply;govuk_approved_documents_collection,/projects/loft-conversion-building-regulations/;/tools/building-control-route-checker/;/downloads/,question_project_template_v1,medium,"project red flags, route advice, likely inspections, evidence checklist, source notice",
what-documents-do-i-need-for-loft-conversion,/questions/what-documents-do-i-need-for-loft-conversion/,programmatic_question_page,What documents do I need for Loft conversion?,What documents do I need for Loft conversion?,"Prepare drawings, calculations, certificates, installer details and evidence for loft conversion.","Prepare drawings, calculations, certificates, installer details and evidence for loft conversion.",England-first,govuk_building_regs_approval,,,batch_5_seo_route_candidate,,,,loft-conversion-building-regulations,homeowner_pre_project_check,govuk_building_regs_how_to_apply;govuk_approved_documents_collection,/projects/loft-conversion-building-regulations/;/tools/building-control-route-checker/;/downloads/,question_project_template_v1,medium,"project red flags, route advice, likely inspections, evidence checklist, source notice",
common-building-regs-mistakes-loft-conversion,/questions/common-building-regs-mistakes-loft-conversion/,programmatic_question_page,Common building regulations mistakes with Loft conversion,Common building regulations mistakes with Loft conversion,"Avoid the common paperwork, inspection, structure, fire-safety and certificate mistakes on loft conversion.","Avoid the common paperwork, inspection, structure, fire-safety and certificate mistakes on loft conversion.",England-first,govuk_building_regs_approval,,,batch_5_seo_route_candidate,,,,loft-conversion-building-regulations,homeowner_pre_project_check,govuk_building_regs_how_to_apply;govuk_approved_documents_collection,/projects/loft-conversion-building-regulations/;/tools/building-control-route-checker/;/downloads/,question_project_template_v1,medium,"project red flags, route advice, likely inspections, evidence checklist, source notice",
do-i-need-building-regulations-for-garage-conversion,/questions/do-i-need-building-regulations-for-garage-conversion/,programmatic_question_page,Do I need building regulations for Garage conversion?,Do I need building regulations for Garage conversion?,"Check whether garage conversion usually needs building regulations approval, what route is safest, and what evidence to keep.","Check whether garage conversion usually needs building regulations approval, what route is safest, and what evidence to keep.",England-first,govuk_building_regs_approval,,,batch_5_seo_route_candidate,,,,garage-conversion-building-regulations,homeowner_pre_project_check,govuk_building_regs_how_to_apply;govuk_approved_documents_collection,/projects/garage-conversion-building-regulations/;/tools/building-control-route-checker/;/downloads/,question_project_template_v1,medium,"project red flags, route advice, likely inspections, evidence checklist, source notice",
building-notice-or-full-plans-for-garage-conversion,/questions/building-notice-or-full-plans-for-garage-conversion/,programmatic_question_page,Building notice or full plans for Garage conversion?,Building notice or full plans for Garage conversion?,"Compare building notice and full plans routes for garage conversion, with red flags that should push the project toward full plans.","Compare building notice and full plans routes for garage conversion, with red flags that should push the project toward full plans.",England-first,govuk_building_regs_approval,,,batch_5_seo_route_candidate,,,,garage-conversion-building-regulations,homeowner_pre_project_check,govuk_building_regs_how_to_apply;govuk_approved_documents_collection,/projects/garage-conversion-building-regulations/;/tools/building-control-route-checker/;/downloads/,question_project_template_v1,medium,"project red flags, route advice, likely inspections, evidence checklist, source notice",
building-control-inspections-for-garage-conversion,/questions/building-control-inspections-for-garage-conversion/,programmatic_question_page,Building control inspections for Garage conversion,Building control inspections for Garage conversion,"See the likely inspection stages for garage conversion, what to prepare before each visit, and what proof to keep.","See the likely inspection stages for garage conversion, what to prepare before each visit, and what proof to keep.",England-first,govuk_building_regs_approval,,,batch_5_seo_route_candidate,,,,garage-conversion-building-regulations,homeowner_pre_project_check,govuk_building_regs_how_to_apply;govuk_approved_documents_collection,/projects/garage-conversion-building-regulations/;/tools/building-control-route-checker/;/downloads/,question_project_template_v1,medium,"project red flags, route advice, likely inspections, evidence checklist, source notice",
completion-certificate-for-garage-conversion,/questions/completion-certificate-for-garage-conversion/,programmatic_question_page,Completion certificate for Garage conversion,Completion certificate for Garage conversion,"Understand how the completion certificate stage normally works for garage conversion, what can delay it, and how to avoid missing documents.","Understand how the completion certificate stage normally works for garage conversion, what can delay it, and how to avoid missing documents.",England-first,govuk_building_regs_approval,,,batch_5_seo_route_candidate,,,,garage-conversion-building-regulations,homeowner_pre_project_check,govuk_building_regs_how_to_apply;govuk_approved_documents_collection,/projects/garage-conversion-building-regulations/;/tools/building-control-route-checker/;/downloads/,question_project_template_v1,medium,"project red flags, route advice, likely inspections, evidence checklist, source notice",
what-documents-do-i-need-for-garage-conversion,/questions/what-documents-do-i-need-for-garage-conversion/,programmatic_question_page,What documents do I need for Garage conversion?,What documents do I need for Garage conversion?,"Prepare drawings, calculations, certificates, installer details and evidence for garage conversion.","Prepare drawings, calculations, certificates, installer details and evidence for garage conversion.",England-first,govuk_building_regs_approval,,,batch_5_seo_route_candidate,,,,garage-conversion-building-regulations,homeowner_pre_project_check,govuk_building_regs_how_to_apply;govuk_approved_documents_collection,/projects/garage-conversion-building-regulations/;/tools/building-control-route-checker/;/downloads/,question_project_template_v1,medium,"project red flags, route advice, likely inspections, evidence checklist, source notice",
common-building-regs-mistakes-garage-conversion,/questions/common-building-regs-mistakes-garage-conversion/,programmatic_question_page,Common building regulations mistakes with Garage conversion,Common building regulations mistakes with Garage conversio,"Avoid the common paperwork, inspection, structure, fire-safety and certificate mistakes on garage conversion.","Avoid the common paperwork, inspection, structure, fire-safety and certificate mistakes on garage conversion.",England-first,govuk_building_regs_approval,,,batch_5_seo_route_candidate,,,,garage-conversion-building-regulations,homeowner_pre_project_check,govuk_building_regs_how_to_apply;govuk_approved_documents_collection,/projects/garage-conversion-building-regulations/;/tools/building-control-route-checker/;/downloads/,question_project_template_v1,medium,"project red flags, route advice, likely inspections, evidence checklist, source notice",
do-i-need-building-regulations-for-removing-load-bearing-wall,/questions/do-i-need-building-regulations-for-removing-load-bearing-wall/,programmatic_question_page,Do I need building regulations for Removing a load-bearing wall?,Do I need building regulations for Removing a load-bearing,"Check whether removing a load-bearing wall usually needs building regulations approval, what route is safest, and what evidence to keep.","Check whether removing a load-bearing wall usually needs building regulations approval, what route is safest, and what evidence to keep.",England-first,govuk_building_regs_approval,,,batch_5_seo_route_candidate,,,,removing-load-bearing-wall-building-regulations,homeowner_pre_project_check,govuk_building_regs_how_to_apply;govuk_approved_documents_collection,/projects/removing-load-bearing-wall-building-regulations/;/tools/building-control-route-checker/;/downloads/,question_project_template_v1,medium,"project red flags, route advice, likely inspections, evidence checklist, source notice",
building-notice-or-full-plans-for-removing-load-bearing-wall,/questions/building-notice-or-full-plans-for-removing-load-bearing-wall/,programmatic_question_page,Building notice or full plans for Removing a load-bearing wall?,Building notice or full plans for Removing a load-bearing ,"Compare building notice and full plans routes for removing a load-bearing wall, with red flags that should push the project toward full plans.","Compare building notice and full plans routes for removing a load-bearing wall, with red flags that should push the project toward full plans.",England-first,govuk_building_regs_approval,,,batch_5_seo_route_candidate,,,,removing-load-bearing-wall-building-regulations,homeowner_pre_project_check,govuk_building_regs_how_to_apply;govuk_approved_documents_collection,/projects/removing-load-bearing-wall-building-regulations/;/tools/building-control-route-checker/;/downloads/,question_project_template_v1,medium,"project red flags, route advice, likely inspections, evidence checklist, source notice",
building-control-inspections-for-removing-load-bearing-wall,/questions/building-control-inspections-for-removing-load-bearing-wall/,programmatic_question_page,Building control inspections for Removing a load-bearing wall,Building control inspections for Removing a load-bearing w,"See the likely inspection stages for removing a load-bearing wall, what to prepare before each visit, and what proof to keep.","See the likely inspection stages for removing a load-bearing wall, what to prepare before each visit, and what proof to keep.",England-first,govuk_building_regs_approval,,,batch_5_seo_route_candidate,,,,removing-load-bearing-wall-building-regulations,homeowner_pre_project_check,govuk_building_regs_how_to_apply;govuk_approved_documents_collection,/projects/removing-load-bearing-wall-building-regulations/;/tools/building-control-route-checker/;/downloads/,question_project_template_v1,medium,"project red flags, route advice, likely inspections, evidence checklist, source notice",
completion-certificate-for-removing-load-bearing-wall,/questions/completion-certificate-for-removing-load-bearing-wall/,programmatic_question_page,Completion certificate for Removing a load-bearing wall,Completion certificate for Removing a load-bearing wall,"Understand how the completion certificate stage normally works for removing a load-bearing wall, what can delay it, and how to avoid missing documents.","Understand how the completion certificate stage normally works for removing a load-bearing wall, what can delay it, and how to avoid missing documents.",England-first,govuk_building_regs_approval,,,batch_5_seo_route_candidate,,,,removing-load-bearing-wall-building-regulations,homeowner_pre_project_check,govuk_building_regs_how_to_apply;govuk_approved_documents_collection,/projects/removing-load-bearing-wall-building-regulations/;/tools/building-control-route-checker/;/downloads/,question_project_template_v1,medium,"project red flags, route advice, likely inspections, evidence checklist, source notice",
what-documents-do-i-need-for-removing-load-bearing-wall,/questions/what-documents-do-i-need-for-removing-load-bearing-wall/,programmatic_question_page,What documents do I need for Removing a load-bearing wall?,What documents do I need for Removing a load-bearing wall?,"Prepare drawings, calculations, certificates, installer details and evidence for removing a load-bearing wall.","Prepare drawings, calculations, certificates, installer details and evidence for removing a load-bearing wall.",England-first,govuk_building_regs_approval,,,batch_5_seo_route_candidate,,,,removing-load-bearing-wall-building-regulations,homeowner_pre_project_check,govuk_building_regs_how_to_apply;govuk_approved_documents_collection,/projects/removing-load-bearing-wall-building-regulations/;/tools/building-control-route-checker/;/downloads/,question_project_template_v1,medium,"project red flags, route advice, likely inspections, evidence checklist, source notice",
common-building-regs-mistakes-removing-load-bearing-wall,/questions/common-building-regs-mistakes-removing-load-bearing-wall/,programmatic_question_page,Common building regulations mistakes with Removing a load-bearing wall,Common building regulations mistakes with Removing a load-,"Avoid the common paperwork, inspection, structure, fire-safety and certificate mistakes on removing a load-bearing wall.","Avoid the common paperwork, inspection, structure, fire-safety and certificate mistakes on removing a load-bearing wall.",England-first,govuk_building_regs_approval,,,batch_5_seo_route_candidate,,,,removing-load-bearing-wall-building-regulations,homeowner_pre_project_check,govuk_building_regs_how_to_apply;govuk_approved_documents_collection,/projects/removing-load-bearing-wall-building-regulations/;/tools/building-control-route-checker/;/downloads/,question_project_template_v1,medium,"project red flags, route advice, likely inspections, evidence checklist, source notice",
do-i-need-building-regulations-for-chimney-breast-removal,/questions/do-i-need-building-regulations-for-chimney-breast-removal/,programmatic_question_page,Do I need building regulations for Chimney breast removal?,Do I need building regulations for Chimney breast removal?,"Check whether chimney breast removal usually needs building regulations approval, what route is safest, and what evidence to keep.","Check whether chimney breast removal usually needs building regulations approval, what route is safest, and what evidence to keep.",England-first,govuk_building_regs_approval,,,batch_5_seo_route_candidate,,,,chimney-breast-removal-building-regulations,homeowner_pre_project_check,govuk_building_regs_how_to_apply;govuk_approved_documents_collection,/projects/chimney-breast-removal-building-regulations/;/tools/building-control-route-checker/;/downloads/,question_project_template_v1,medium,"project red flags, route advice, likely inspections, evidence checklist, source notice",
building-notice-or-full-plans-for-chimney-breast-removal,/questions/building-notice-or-full-plans-for-chimney-breast-removal/,programmatic_question_page,Building notice or full plans for Chimney breast removal?,Building notice or full plans for Chimney breast removal?,"Compare building notice and full plans routes for chimney breast removal, with red flags that should push the project toward full plans.","Compare building notice and full plans routes for chimney breast removal, with red flags that should push the project toward full plans.",England-first,govuk_building_regs_approval,,,batch_5_seo_route_candidate,,,,chimney-breast-removal-building-regulations,homeowner_pre_project_check,govuk_building_regs_how_to_apply;govuk_approved_documents_collection,/projects/chimney-breast-removal-building-regulations/;/tools/building-control-route-checker/;/downloads/,question_project_template_v1,medium,"project red flags, route advice, likely inspections, evidence checklist, source notice",
building-control-inspections-for-chimney-breast-removal,/questions/building-control-inspections-for-chimney-breast-removal/,programmatic_question_page,Building control inspections for Chimney breast removal,Building control inspections for Chimney breast removal,"See the likely inspection stages for chimney breast removal, what to prepare before each visit, and what proof to keep.","See the likely inspection stages for chimney breast removal, what to prepare before each visit, and what proof to keep.",England-first,govuk_building_regs_approval,,,batch_5_seo_route_candidate,,,,chimney-breast-removal-building-regulations,homeowner_pre_project_check,govuk_building_regs_how_to_apply;govuk_approved_documents_collection,/projects/chimney-breast-removal-building-regulations/;/tools/building-control-route-checker/;/downloads/,question_project_template_v1,medium,"project red flags, route advice, likely inspections, evidence checklist, source notice",
completion-certificate-for-chimney-breast-removal,/questions/completion-certificate-for-chimney-breast-removal/,programmatic_question_page,Completion certificate for Chimney breast removal,Completion certificate for Chimney breast removal,"Understand how the completion certificate stage normally works for chimney breast removal, what can delay it, and how to avoid missing documents.","Understand how the completion certificate stage normally works for chimney breast removal, what can delay it, and how to avoid missing documents.",England-first,govuk_building_regs_approval,,,batch_5_seo_route_candidate,,,,chimney-breast-removal-building-regulations,homeowner_pre_project_check,govuk_building_regs_how_to_apply;govuk_approved_documents_collection,/projects/chimney-breast-removal-building-regulations/;/tools/building-control-route-checker/;/downloads/,question_project_template_v1,medium,"project red flags, route advice, likely inspections, evidence checklist, source notice",
what-documents-do-i-need-for-chimney-breast-removal,/questions/what-documents-do-i-need-for-chimney-breast-removal/,programmatic_question_page,What documents do I need for Chimney breast removal?,What documents do I need for Chimney breast removal?,"Prepare drawings, calculations, certificates, installer details and evidence for chimney breast removal.","Prepare drawings, calculations, certificates, installer details and evidence for chimney breast removal.",England-first,govuk_building_regs_approval,,,batch_5_seo_route_candidate,,,,chimney-breast-removal-building-regulations,homeowner_pre_project_check,govuk_building_regs_how_to_apply;govuk_approved_documents_collection,/projects/chimney-breast-removal-building-regulations/;/tools/building-control-route-checker/;/downloads/,question_project_template_v1,medium,"project red flags, route advice, likely inspections, evidence checklist, source notice",
common-building-regs-mistakes-chimney-breast-removal,/questions/common-building-regs-mistakes-chimney-breast-removal/,programmatic_question_page,Common building regulations mistakes with Chimney breast removal,Common building regulations mistakes with Chimney breast r,"Avoid the common paperwork, inspection, structure, fire-safety and certificate mistakes on chimney breast removal.","Avoid the common paperwork, inspection, structure, fire-safety and certificate mistakes on chimney breast removal.",England-first,govuk_building_regs_approval,,,batch_5_seo_route_candidate,,,,chimney-breast-removal-building-regulations,homeowner_pre_project_check,govuk_building_regs_how_to_apply;govuk_approved_documents_collection,/projects/chimney-breast-removal-building-regulations/;/tools/building-control-route-checker/;/downloads/,question_project_template_v1,medium,"project red flags, route advice, likely inspections, evidence checklist, source notice",
do-i-need-building-regulations-for-bathroom,/questions/do-i-need-building-regulations-for-bathroom/,programmatic_question_page,Do I need building regulations for Bathroom?,Do I need building regulations for Bathroom?,"Check whether bathroom usually needs building regulations approval, what route is safest, and what evidence to keep.","Check whether bathroom usually needs building regulations approval, what route is safest, and what evidence to keep.",England-first,govuk_building_regs_approval,,,batch_5_seo_route_candidate,,,,bathroom-building-regulations,homeowner_pre_project_check,govuk_building_regs_how_to_apply;govuk_approved_documents_collection,/projects/bathroom-building-regulations/;/tools/building-control-route-checker/;/downloads/,question_project_template_v1,medium,"project red flags, route advice, likely inspections, evidence checklist, source notice",
building-notice-or-full-plans-for-bathroom,/questions/building-notice-or-full-plans-for-bathroom/,programmatic_question_page,Building notice or full plans for Bathroom?,Building notice or full plans for Bathroom?,"Compare building notice and full plans routes for bathroom, with red flags that should push the project toward full plans.","Compare building notice and full plans routes for bathroom, with red flags that should push the project toward full plans.",England-first,govuk_building_regs_approval,,,batch_5_seo_route_candidate,,,,bathroom-building-regulations,homeowner_pre_project_check,govuk_building_regs_how_to_apply;govuk_approved_documents_collection,/projects/bathroom-building-regulations/;/tools/building-control-route-checker/;/downloads/,question_project_template_v1,medium,"project red flags, route advice, likely inspections, evidence checklist, source notice",
building-control-inspections-for-bathroom,/questions/building-control-inspections-for-bathroom/,programmatic_question_page,Building control inspections for Bathroom,Building control inspections for Bathroom,"See the likely inspection stages for bathroom, what to prepare before each visit, and what proof to keep.","See the likely inspection stages for bathroom, what to prepare before each visit, and what proof to keep.",England-first,govuk_building_regs_approval,,,batch_5_seo_route_candidate,,,,bathroom-building-regulations,homeowner_pre_project_check,govuk_building_regs_how_to_apply;govuk_approved_documents_collection,/projects/bathroom-building-regulations/;/tools/building-control-route-checker/;/downloads/,question_project_template_v1,medium,"project red flags, route advice, likely inspections, evidence checklist, source notice",
completion-certificate-for-bathroom,/questions/completion-certificate-for-bathroom/,programmatic_question_page,Completion certificate for Bathroom,Completion certificate for Bathroom,"Understand how the completion certificate stage normally works for bathroom, what can delay it, and how to avoid missing documents.","Understand how the completion certificate stage normally works for bathroom, what can delay it, and how to avoid missing documents.",England-first,govuk_building_regs_approval,,,batch_5_seo_route_candidate,,,,bathroom-building-regulations,homeowner_pre_project_check,govuk_building_regs_how_to_apply;govuk_approved_documents_collection,/projects/bathroom-building-regulations/;/tools/building-control-route-checker/;/downloads/,question_project_template_v1,medium,"project red flags, route advice, likely inspections, evidence checklist, source notice",
what-documents-do-i-need-for-bathroom,/questions/what-documents-do-i-need-for-bathroom/,programmatic_question_page,What documents do I need for Bathroom?,What documents do I need for Bathroom?,"Prepare drawings, calculations, certificates, installer details and evidence for bathroom.","Prepare drawings, calculations, certificates, installer details and evidence for bathroom.",England-first,govuk_building_regs_approval,,,batch_5_seo_route_candidate,,,,bathroom-building-regulations,homeowner_pre_project_check,govuk_building_regs_how_to_apply;govuk_approved_documents_collection,/projects/bathroom-building-regulations/;/tools/building-control-route-checker/;/downloads/,question_project_template_v1,medium,"project red flags, route advice, likely inspections, evidence checklist, source notice",
common-building-regs-mistakes-bathroom,/questions/common-building-regs-mistakes-bathroom/,programmatic_question_page,Common building regulations mistakes with Bathroom,Common building regulations mistakes with Bathroom,"Avoid the common paperwork, inspection, structure, fire-safety and certificate mistakes on bathroom.","Avoid the common paperwork, inspection, structure, fire-safety and certificate mistakes on bathroom.",England-first,govuk_building_regs_approval,,,batch_5_seo_route_candidate,,,,bathroom-building-regulations,homeowner_pre_project_check,govuk_building_regs_how_to_apply;govuk_approved_documents_collection,/projects/bathroom-building-regulations/;/tools/building-control-route-checker/;/downloads/,question_project_template_v1,medium,"project red flags, route advice, likely inspections, evidence checklist, source notice",
do-i-need-building-regulations-for-kitchen,/questions/do-i-need-building-regulations-for-kitchen/,programmatic_question_page,Do I need building regulations for Kitchen?,Do I need building regulations for Kitchen?,"Check whether kitchen usually needs building regulations approval, what route is safest, and what evidence to keep.","Check whether kitchen usually needs building regulations approval, what route is safest, and what evidence to keep.",England-first,govuk_building_regs_approval,,,batch_5_seo_route_candidate,,,,kitchen-building-regulations,homeowner_pre_project_check,govuk_building_regs_how_to_apply;govuk_approved_documents_collection,/projects/kitchen-building-regulations/;/tools/building-control-route-checker/;/downloads/,question_project_template_v1,medium,"project red flags, route advice, likely inspections, evidence checklist, source notice",
building-notice-or-full-plans-for-kitchen,/questions/building-notice-or-full-plans-for-kitchen/,programmatic_question_page,Building notice or full plans for Kitchen?,Building notice or full plans for Kitchen?,"Compare building notice and full plans routes for kitchen, with red flags that should push the project toward full plans.","Compare building notice and full plans routes for kitchen, with red flags that should push the project toward full plans.",England-first,govuk_building_regs_approval,,,batch_5_seo_route_candidate,,,,kitchen-building-regulations,homeowner_pre_project_check,govuk_building_regs_how_to_apply;govuk_approved_documents_collection,/projects/kitchen-building-regulations/;/tools/building-control-route-checker/;/downloads/,question_project_template_v1,medium,"project red flags, route advice, likely inspections, evidence checklist, source notice",
building-control-inspections-for-kitchen,/questions/building-control-inspections-for-kitchen/,programmatic_question_page,Building control inspections for Kitchen,Building control inspections for Kitchen,"See the likely inspection stages for kitchen, what to prepare before each visit, and what proof to keep.","See the likely inspection stages for kitchen, what to prepare before each visit, and what proof to keep.",England-first,govuk_building_regs_approval,,,batch_5_seo_route_candidate,,,,kitchen-building-regulations,homeowner_pre_project_check,govuk_building_regs_how_to_apply;govuk_approved_documents_collection,/projects/kitchen-building-regulations/;/tools/building-control-route-checker/;/downloads/,question_project_template_v1,medium,"project red flags, route advice, likely inspections, evidence checklist, source notice",
completion-certificate-for-kitchen,/questions/completion-certificate-for-kitchen/,programmatic_question_page,Completion certificate for Kitchen,Completion certificate for Kitchen,"Understand how the completion certificate stage normally works for kitchen, what can delay it, and how to avoid missing documents.","Understand how the completion certificate stage normally works for kitchen, what can delay it, and how to avoid missing documents.",England-first,govuk_building_regs_approval,,,batch_5_seo_route_candidate,,,,kitchen-building-regulations,homeowner_pre_project_check,govuk_building_regs_how_to_apply;govuk_approved_documents_collection,/projects/kitchen-building-regulations/;/tools/building-control-route-checker/;/downloads/,question_project_template_v1,medium,"project red flags, route advice, likely inspections, evidence checklist, source notice",
