slug,path,family,parent_project_slug,title,meta_title,meta_description,summary,primary_intent,jurisdiction,primary_source_id,secondary_source_ids,must_link_to,template_id,thin_page_risk,minimum_unique_blocks,batch_status,parent_approved_document
common-building-regs-mistakes-boiler-heating,/questions/common-building-regs-mistakes-boiler-heating/,programmatic_question_page,boiler-heating-building-regulations,Common building regulations mistakes with Boiler and heating,Common building regulations mistakes with Boiler and heati,"Avoid the common paperwork, inspection, structure, fire-safety and certificate mistakes on boiler and heating.","Avoid the common paperwork, inspection, structure, fire-safety and certificate mistakes on boiler and heating.",homeowner_pre_project_check,England-first,govuk_building_regs_approval,govuk_building_regs_how_to_apply;govuk_approved_documents_collection,/projects/boiler-heating-building-regulations/;/tools/building-control-route-checker/;/downloads/,question_project_template_v1,medium,"project red flags, route advice, likely inspections, evidence checklist, source notice",batch_5_seo_route_candidate,
do-i-need-building-regulations-for-electrical-work,/questions/do-i-need-building-regulations-for-electrical-work/,programmatic_question_page,electrical-work-building-regulations,Do I need building regulations for Electrical work?,Do I need building regulations for Electrical work?,"Check whether electrical work usually needs building regulations approval, what route is safest, and what evidence to keep.","Check whether electrical work usually needs building regulations approval, what route is safest, and what evidence to keep.",homeowner_pre_project_check,England-first,govuk_building_regs_approval,govuk_building_regs_how_to_apply;govuk_approved_documents_collection,/projects/electrical-work-building-regulations/;/tools/building-control-route-checker/;/downloads/,question_project_template_v1,medium,"project red flags, route advice, likely inspections, evidence checklist, source notice",batch_5_seo_route_candidate,
building-notice-or-full-plans-for-electrical-work,/questions/building-notice-or-full-plans-for-electrical-work/,programmatic_question_page,electrical-work-building-regulations,Building notice or full plans for Electrical work?,Building notice or full plans for Electrical work?,"Compare building notice and full plans routes for electrical work, with red flags that should push the project toward full plans.","Compare building notice and full plans routes for electrical work, with red flags that should push the project toward full plans.",homeowner_pre_project_check,England-first,govuk_building_regs_approval,govuk_building_regs_how_to_apply;govuk_approved_documents_collection,/projects/electrical-work-building-regulations/;/tools/building-control-route-checker/;/downloads/,question_project_template_v1,medium,"project red flags, route advice, likely inspections, evidence checklist, source notice",batch_5_seo_route_candidate,
building-control-inspections-for-electrical-work,/questions/building-control-inspections-for-electrical-work/,programmatic_question_page,electrical-work-building-regulations,Building control inspections for Electrical work,Building control inspections for Electrical work,"See the likely inspection stages for electrical work, what to prepare before each visit, and what proof to keep.","See the likely inspection stages for electrical work, what to prepare before each visit, and what proof to keep.",homeowner_pre_project_check,England-first,govuk_building_regs_approval,govuk_building_regs_how_to_apply;govuk_approved_documents_collection,/projects/electrical-work-building-regulations/;/tools/building-control-route-checker/;/downloads/,question_project_template_v1,medium,"project red flags, route advice, likely inspections, evidence checklist, source notice",batch_5_seo_route_candidate,
completion-certificate-for-electrical-work,/questions/completion-certificate-for-electrical-work/,programmatic_question_page,electrical-work-building-regulations,Completion certificate for Electrical work,Completion certificate for Electrical work,"Understand how the completion certificate stage normally works for electrical work, what can delay it, and how to avoid missing documents.","Understand how the completion certificate stage normally works for electrical work, what can delay it, and how to avoid missing documents.",homeowner_pre_project_check,England-first,govuk_building_regs_approval,govuk_building_regs_how_to_apply;govuk_approved_documents_collection,/projects/electrical-work-building-regulations/;/tools/building-control-route-checker/;/downloads/,question_project_template_v1,medium,"project red flags, route advice, likely inspections, evidence checklist, source notice",batch_5_seo_route_candidate,
what-documents-do-i-need-for-electrical-work,/questions/what-documents-do-i-need-for-electrical-work/,programmatic_question_page,electrical-work-building-regulations,What documents do I need for Electrical work?,What documents do I need for Electrical work?,"Prepare drawings, calculations, certificates, installer details and evidence for electrical work.","Prepare drawings, calculations, certificates, installer details and evidence for electrical work.",homeowner_pre_project_check,England-first,govuk_building_regs_approval,govuk_building_regs_how_to_apply;govuk_approved_documents_collection,/projects/electrical-work-building-regulations/;/tools/building-control-route-checker/;/downloads/,question_project_template_v1,medium,"project red flags, route advice, likely inspections, evidence checklist, source notice",batch_5_seo_route_candidate,
common-building-regs-mistakes-electrical-work,/questions/common-building-regs-mistakes-electrical-work/,programmatic_question_page,electrical-work-building-regulations,Common building regulations mistakes with Electrical work,Common building regulations mistakes with Electrical work,"Avoid the common paperwork, inspection, structure, fire-safety and certificate mistakes on electrical work.","Avoid the common paperwork, inspection, structure, fire-safety and certificate mistakes on electrical work.",homeowner_pre_project_check,England-first,govuk_building_regs_approval,govuk_building_regs_how_to_apply;govuk_approved_documents_collection,/projects/electrical-work-building-regulations/;/tools/building-control-route-checker/;/downloads/,question_project_template_v1,medium,"project red flags, route advice, likely inspections, evidence checklist, source notice",batch_5_seo_route_candidate,
do-i-need-building-regulations-for-solar-panels,/questions/do-i-need-building-regulations-for-solar-panels/,programmatic_question_page,solar-panels-building-regulations,Do I need building regulations for Solar panels?,Do I need building regulations for Solar panels?,"Check whether solar panels usually needs building regulations approval, what route is safest, and what evidence to keep.","Check whether solar panels usually needs building regulations approval, what route is safest, and what evidence to keep.",homeowner_pre_project_check,England-first,govuk_building_regs_approval,govuk_building_regs_how_to_apply;govuk_approved_documents_collection,/projects/solar-panels-building-regulations/;/tools/building-control-route-checker/;/downloads/,question_project_template_v1,medium,"project red flags, route advice, likely inspections, evidence checklist, source notice",batch_5_seo_route_candidate,
building-notice-or-full-plans-for-solar-panels,/questions/building-notice-or-full-plans-for-solar-panels/,programmatic_question_page,solar-panels-building-regulations,Building notice or full plans for Solar panels?,Building notice or full plans for Solar panels?,"Compare building notice and full plans routes for solar panels, with red flags that should push the project toward full plans.","Compare building notice and full plans routes for solar panels, with red flags that should push the project toward full plans.",homeowner_pre_project_check,England-first,govuk_building_regs_approval,govuk_building_regs_how_to_apply;govuk_approved_documents_collection,/projects/solar-panels-building-regulations/;/tools/building-control-route-checker/;/downloads/,question_project_template_v1,medium,"project red flags, route advice, likely inspections, evidence checklist, source notice",batch_5_seo_route_candidate,
building-control-inspections-for-solar-panels,/questions/building-control-inspections-for-solar-panels/,programmatic_question_page,solar-panels-building-regulations,Building control inspections for Solar panels,Building control inspections for Solar panels,"See the likely inspection stages for solar panels, what to prepare before each visit, and what proof to keep.","See the likely inspection stages for solar panels, what to prepare before each visit, and what proof to keep.",homeowner_pre_project_check,England-first,govuk_building_regs_approval,govuk_building_regs_how_to_apply;govuk_approved_documents_collection,/projects/solar-panels-building-regulations/;/tools/building-control-route-checker/;/downloads/,question_project_template_v1,medium,"project red flags, route advice, likely inspections, evidence checklist, source notice",batch_5_seo_route_candidate,
completion-certificate-for-solar-panels,/questions/completion-certificate-for-solar-panels/,programmatic_question_page,solar-panels-building-regulations,Completion certificate for Solar panels,Completion certificate for Solar panels,"Understand how the completion certificate stage normally works for solar panels, what can delay it, and how to avoid missing documents.","Understand how the completion certificate stage normally works for solar panels, what can delay it, and how to avoid missing documents.",homeowner_pre_project_check,England-first,govuk_building_regs_approval,govuk_building_regs_how_to_apply;govuk_approved_documents_collection,/projects/solar-panels-building-regulations/;/tools/building-control-route-checker/;/downloads/,question_project_template_v1,medium,"project red flags, route advice, likely inspections, evidence checklist, source notice",batch_5_seo_route_candidate,
what-documents-do-i-need-for-solar-panels,/questions/what-documents-do-i-need-for-solar-panels/,programmatic_question_page,solar-panels-building-regulations,What documents do I need for Solar panels?,What documents do I need for Solar panels?,"Prepare drawings, calculations, certificates, installer details and evidence for solar panels.","Prepare drawings, calculations, certificates, installer details and evidence for solar panels.",homeowner_pre_project_check,England-first,govuk_building_regs_approval,govuk_building_regs_how_to_apply;govuk_approved_documents_collection,/projects/solar-panels-building-regulations/;/tools/building-control-route-checker/;/downloads/,question_project_template_v1,medium,"project red flags, route advice, likely inspections, evidence checklist, source notice",batch_5_seo_route_candidate,
common-building-regs-mistakes-solar-panels,/questions/common-building-regs-mistakes-solar-panels/,programmatic_question_page,solar-panels-building-regulations,Common building regulations mistakes with Solar panels,Common building regulations mistakes with Solar panels,"Avoid the common paperwork, inspection, structure, fire-safety and certificate mistakes on solar panels.","Avoid the common paperwork, inspection, structure, fire-safety and certificate mistakes on solar panels.",homeowner_pre_project_check,England-first,govuk_building_regs_approval,govuk_building_regs_how_to_apply;govuk_approved_documents_collection,/projects/solar-panels-building-regulations/;/tools/building-control-route-checker/;/downloads/,question_project_template_v1,medium,"project red flags, route advice, likely inspections, evidence checklist, source notice",batch_5_seo_route_candidate,
do-i-need-building-regulations-for-heat-pump,/questions/do-i-need-building-regulations-for-heat-pump/,programmatic_question_page,heat-pump-building-regulations,Do I need building regulations for Heat pump?,Do I need building regulations for Heat pump?,"Check whether heat pump usually needs building regulations approval, what route is safest, and what evidence to keep.","Check whether heat pump usually needs building regulations approval, what route is safest, and what evidence to keep.",homeowner_pre_project_check,England-first,govuk_building_regs_approval,govuk_building_regs_how_to_apply;govuk_approved_documents_collection,/projects/heat-pump-building-regulations/;/tools/building-control-route-checker/;/downloads/,question_project_template_v1,medium,"project red flags, route advice, likely inspections, evidence checklist, source notice",batch_5_seo_route_candidate,
building-notice-or-full-plans-for-heat-pump,/questions/building-notice-or-full-plans-for-heat-pump/,programmatic_question_page,heat-pump-building-regulations,Building notice or full plans for Heat pump?,Building notice or full plans for Heat pump?,"Compare building notice and full plans routes for heat pump, with red flags that should push the project toward full plans.","Compare building notice and full plans routes for heat pump, with red flags that should push the project toward full plans.",homeowner_pre_project_check,England-first,govuk_building_regs_approval,govuk_building_regs_how_to_apply;govuk_approved_documents_collection,/projects/heat-pump-building-regulations/;/tools/building-control-route-checker/;/downloads/,question_project_template_v1,medium,"project red flags, route advice, likely inspections, evidence checklist, source notice",batch_5_seo_route_candidate,
building-control-inspections-for-heat-pump,/questions/building-control-inspections-for-heat-pump/,programmatic_question_page,heat-pump-building-regulations,Building control inspections for Heat pump,Building control inspections for Heat pump,"See the likely inspection stages for heat pump, what to prepare before each visit, and what proof to keep.","See the likely inspection stages for heat pump, what to prepare before each visit, and what proof to keep.",homeowner_pre_project_check,England-first,govuk_building_regs_approval,govuk_building_regs_how_to_apply;govuk_approved_documents_collection,/projects/heat-pump-building-regulations/;/tools/building-control-route-checker/;/downloads/,question_project_template_v1,medium,"project red flags, route advice, likely inspections, evidence checklist, source notice",batch_5_seo_route_candidate,
completion-certificate-for-heat-pump,/questions/completion-certificate-for-heat-pump/,programmatic_question_page,heat-pump-building-regulations,Completion certificate for Heat pump,Completion certificate for Heat pump,"Understand how the completion certificate stage normally works for heat pump, what can delay it, and how to avoid missing documents.","Understand how the completion certificate stage normally works for heat pump, what can delay it, and how to avoid missing documents.",homeowner_pre_project_check,England-first,govuk_building_regs_approval,govuk_building_regs_how_to_apply;govuk_approved_documents_collection,/projects/heat-pump-building-regulations/;/tools/building-control-route-checker/;/downloads/,question_project_template_v1,medium,"project red flags, route advice, likely inspections, evidence checklist, source notice",batch_5_seo_route_candidate,
what-documents-do-i-need-for-heat-pump,/questions/what-documents-do-i-need-for-heat-pump/,programmatic_question_page,heat-pump-building-regulations,What documents do I need for Heat pump?,What documents do I need for Heat pump?,"Prepare drawings, calculations, certificates, installer details and evidence for heat pump.","Prepare drawings, calculations, certificates, installer details and evidence for heat pump.",homeowner_pre_project_check,England-first,govuk_building_regs_approval,govuk_building_regs_how_to_apply;govuk_approved_documents_collection,/projects/heat-pump-building-regulations/;/tools/building-control-route-checker/;/downloads/,question_project_template_v1,medium,"project red flags, route advice, likely inspections, evidence checklist, source notice",batch_5_seo_route_candidate,
common-building-regs-mistakes-heat-pump,/questions/common-building-regs-mistakes-heat-pump/,programmatic_question_page,heat-pump-building-regulations,Common building regulations mistakes with Heat pump,Common building regulations mistakes with Heat pump,"Avoid the common paperwork, inspection, structure, fire-safety and certificate mistakes on heat pump.","Avoid the common paperwork, inspection, structure, fire-safety and certificate mistakes on heat pump.",homeowner_pre_project_check,England-first,govuk_building_regs_approval,govuk_building_regs_how_to_apply;govuk_approved_documents_collection,/projects/heat-pump-building-regulations/;/tools/building-control-route-checker/;/downloads/,question_project_template_v1,medium,"project red flags, route advice, likely inspections, evidence checklist, source notice",batch_5_seo_route_candidate,
do-i-need-building-regulations-for-garden-room,/questions/do-i-need-building-regulations-for-garden-room/,programmatic_question_page,garden-room-building-regulations,Do I need building regulations for Garden room?,Do I need building regulations for Garden room?,"Check whether garden room usually needs building regulations approval, what route is safest, and what evidence to keep.","Check whether garden room usually needs building regulations approval, what route is safest, and what evidence to keep.",homeowner_pre_project_check,England-first,govuk_building_regs_approval,govuk_building_regs_how_to_apply;govuk_approved_documents_collection,/projects/garden-room-building-regulations/;/tools/building-control-route-checker/;/downloads/,question_project_template_v1,medium,"project red flags, route advice, likely inspections, evidence checklist, source notice",batch_5_seo_route_candidate,
building-notice-or-full-plans-for-garden-room,/questions/building-notice-or-full-plans-for-garden-room/,programmatic_question_page,garden-room-building-regulations,Building notice or full plans for Garden room?,Building notice or full plans for Garden room?,"Compare building notice and full plans routes for garden room, with red flags that should push the project toward full plans.","Compare building notice and full plans routes for garden room, with red flags that should push the project toward full plans.",homeowner_pre_project_check,England-first,govuk_building_regs_approval,govuk_building_regs_how_to_apply;govuk_approved_documents_collection,/projects/garden-room-building-regulations/;/tools/building-control-route-checker/;/downloads/,question_project_template_v1,medium,"project red flags, route advice, likely inspections, evidence checklist, source notice",batch_5_seo_route_candidate,
building-control-inspections-for-garden-room,/questions/building-control-inspections-for-garden-room/,programmatic_question_page,garden-room-building-regulations,Building control inspections for Garden room,Building control inspections for Garden room,"See the likely inspection stages for garden room, what to prepare before each visit, and what proof to keep.","See the likely inspection stages for garden room, what to prepare before each visit, and what proof to keep.",homeowner_pre_project_check,England-first,govuk_building_regs_approval,govuk_building_regs_how_to_apply;govuk_approved_documents_collection,/projects/garden-room-building-regulations/;/tools/building-control-route-checker/;/downloads/,question_project_template_v1,medium,"project red flags, route advice, likely inspections, evidence checklist, source notice",batch_5_seo_route_candidate,
completion-certificate-for-garden-room,/questions/completion-certificate-for-garden-room/,programmatic_question_page,garden-room-building-regulations,Completion certificate for Garden room,Completion certificate for Garden room,"Understand how the completion certificate stage normally works for garden room, what can delay it, and how to avoid missing documents.","Understand how the completion certificate stage normally works for garden room, what can delay it, and how to avoid missing documents.",homeowner_pre_project_check,England-first,govuk_building_regs_approval,govuk_building_regs_how_to_apply;govuk_approved_documents_collection,/projects/garden-room-building-regulations/;/tools/building-control-route-checker/;/downloads/,question_project_template_v1,medium,"project red flags, route advice, likely inspections, evidence checklist, source notice",batch_5_seo_route_candidate,
what-documents-do-i-need-for-garden-room,/questions/what-documents-do-i-need-for-garden-room/,programmatic_question_page,garden-room-building-regulations,What documents do I need for Garden room?,What documents do I need for Garden room?,"Prepare drawings, calculations, certificates, installer details and evidence for garden room.","Prepare drawings, calculations, certificates, installer details and evidence for garden room.",homeowner_pre_project_check,England-first,govuk_building_regs_approval,govuk_building_regs_how_to_apply;govuk_approved_documents_collection,/projects/garden-room-building-regulations/;/tools/building-control-route-checker/;/downloads/,question_project_template_v1,medium,"project red flags, route advice, likely inspections, evidence checklist, source notice",batch_5_seo_route_candidate,
common-building-regs-mistakes-garden-room,/questions/common-building-regs-mistakes-garden-room/,programmatic_question_page,garden-room-building-regulations,Common building regulations mistakes with Garden room,Common building regulations mistakes with Garden room,"Avoid the common paperwork, inspection, structure, fire-safety and certificate mistakes on garden room.","Avoid the common paperwork, inspection, structure, fire-safety and certificate mistakes on garden room.",homeowner_pre_project_check,England-first,govuk_building_regs_approval,govuk_building_regs_how_to_apply;govuk_approved_documents_collection,/projects/garden-room-building-regulations/;/tools/building-control-route-checker/;/downloads/,question_project_template_v1,medium,"project red flags, route advice, likely inspections, evidence checklist, source notice",batch_5_seo_route_candidate,
do-i-need-building-regulations-for-outbuilding,/questions/do-i-need-building-regulations-for-outbuilding/,programmatic_question_page,outbuilding-building-regulations,Do I need building regulations for Outbuilding?,Do I need building regulations for Outbuilding?,"Check whether outbuilding usually needs building regulations approval, what route is safest, and what evidence to keep.","Check whether outbuilding usually needs building regulations approval, what route is safest, and what evidence to keep.",homeowner_pre_project_check,England-first,govuk_building_regs_approval,govuk_building_regs_how_to_apply;govuk_approved_documents_collection,/projects/outbuilding-building-regulations/;/tools/building-control-route-checker/;/downloads/,question_project_template_v1,medium,"project red flags, route advice, likely inspections, evidence checklist, source notice",batch_5_seo_route_candidate,
building-notice-or-full-plans-for-outbuilding,/questions/building-notice-or-full-plans-for-outbuilding/,programmatic_question_page,outbuilding-building-regulations,Building notice or full plans for Outbuilding?,Building notice or full plans for Outbuilding?,"Compare building notice and full plans routes for outbuilding, with red flags that should push the project toward full plans.","Compare building notice and full plans routes for outbuilding, with red flags that should push the project toward full plans.",homeowner_pre_project_check,England-first,govuk_building_regs_approval,govuk_building_regs_how_to_apply;govuk_approved_documents_collection,/projects/outbuilding-building-regulations/;/tools/building-control-route-checker/;/downloads/,question_project_template_v1,medium,"project red flags, route advice, likely inspections, evidence checklist, source notice",batch_5_seo_route_candidate,
building-control-inspections-for-outbuilding,/questions/building-control-inspections-for-outbuilding/,programmatic_question_page,outbuilding-building-regulations,Building control inspections for Outbuilding,Building control inspections for Outbuilding,"See the likely inspection stages for outbuilding, what to prepare before each visit, and what proof to keep.","See the likely inspection stages for outbuilding, what to prepare before each visit, and what proof to keep.",homeowner_pre_project_check,England-first,govuk_building_regs_approval,govuk_building_regs_how_to_apply;govuk_approved_documents_collection,/projects/outbuilding-building-regulations/;/tools/building-control-route-checker/;/downloads/,question_project_template_v1,medium,"project red flags, route advice, likely inspections, evidence checklist, source notice",batch_5_seo_route_candidate,
completion-certificate-for-outbuilding,/questions/completion-certificate-for-outbuilding/,programmatic_question_page,outbuilding-building-regulations,Completion certificate for Outbuilding,Completion certificate for Outbuilding,"Understand how the completion certificate stage normally works for outbuilding, what can delay it, and how to avoid missing documents.","Understand how the completion certificate stage normally works for outbuilding, what can delay it, and how to avoid missing documents.",homeowner_pre_project_check,England-first,govuk_building_regs_approval,govuk_building_regs_how_to_apply;govuk_approved_documents_collection,/projects/outbuilding-building-regulations/;/tools/building-control-route-checker/;/downloads/,question_project_template_v1,medium,"project red flags, route advice, likely inspections, evidence checklist, source notice",batch_5_seo_route_candidate,
what-documents-do-i-need-for-outbuilding,/questions/what-documents-do-i-need-for-outbuilding/,programmatic_question_page,outbuilding-building-regulations,What documents do I need for Outbuilding?,What documents do I need for Outbuilding?,"Prepare drawings, calculations, certificates, installer details and evidence for outbuilding.","Prepare drawings, calculations, certificates, installer details and evidence for outbuilding.",homeowner_pre_project_check,England-first,govuk_building_regs_approval,govuk_building_regs_how_to_apply;govuk_approved_documents_collection,/projects/outbuilding-building-regulations/;/tools/building-control-route-checker/;/downloads/,question_project_template_v1,medium,"project red flags, route advice, likely inspections, evidence checklist, source notice",batch_5_seo_route_candidate,
common-building-regs-mistakes-outbuilding,/questions/common-building-regs-mistakes-outbuilding/,programmatic_question_page,outbuilding-building-regulations,Common building regulations mistakes with Outbuilding,Common building regulations mistakes with Outbuilding,"Avoid the common paperwork, inspection, structure, fire-safety and certificate mistakes on outbuilding.","Avoid the common paperwork, inspection, structure, fire-safety and certificate mistakes on outbuilding.",homeowner_pre_project_check,England-first,govuk_building_regs_approval,govuk_building_regs_how_to_apply;govuk_approved_documents_collection,/projects/outbuilding-building-regulations/;/tools/building-control-route-checker/;/downloads/,question_project_template_v1,medium,"project red flags, route advice, likely inspections, evidence checklist, source notice",batch_5_seo_route_candidate,
do-i-need-building-regulations-for-basement-conversion,/questions/do-i-need-building-regulations-for-basement-conversion/,programmatic_question_page,basement-conversion-building-regulations,Do I need building regulations for Basement conversion?,Do I need building regulations for Basement conversion?,"Check whether basement conversion usually needs building regulations approval, what route is safest, and what evidence to keep.","Check whether basement conversion usually needs building regulations approval, what route is safest, and what evidence to keep.",homeowner_pre_project_check,England-first,govuk_building_regs_approval,govuk_building_regs_how_to_apply;govuk_approved_documents_collection,/projects/basement-conversion-building-regulations/;/tools/building-control-route-checker/;/downloads/,question_project_template_v1,medium,"project red flags, route advice, likely inspections, evidence checklist, source notice",batch_5_seo_route_candidate,
building-notice-or-full-plans-for-basement-conversion,/questions/building-notice-or-full-plans-for-basement-conversion/,programmatic_question_page,basement-conversion-building-regulations,Building notice or full plans for Basement conversion?,Building notice or full plans for Basement conversion?,"Compare building notice and full plans routes for basement conversion, with red flags that should push the project toward full plans.","Compare building notice and full plans routes for basement conversion, with red flags that should push the project toward full plans.",homeowner_pre_project_check,England-first,govuk_building_regs_approval,govuk_building_regs_how_to_apply;govuk_approved_documents_collection,/projects/basement-conversion-building-regulations/;/tools/building-control-route-checker/;/downloads/,question_project_template_v1,medium,"project red flags, route advice, likely inspections, evidence checklist, source notice",batch_5_seo_route_candidate,
building-control-inspections-for-basement-conversion,/questions/building-control-inspections-for-basement-conversion/,programmatic_question_page,basement-conversion-building-regulations,Building control inspections for Basement conversion,Building control inspections for Basement conversion,"See the likely inspection stages for basement conversion, what to prepare before each visit, and what proof to keep.","See the likely inspection stages for basement conversion, what to prepare before each visit, and what proof to keep.",homeowner_pre_project_check,England-first,govuk_building_regs_approval,govuk_building_regs_how_to_apply;govuk_approved_documents_collection,/projects/basement-conversion-building-regulations/;/tools/building-control-route-checker/;/downloads/,question_project_template_v1,medium,"project red flags, route advice, likely inspections, evidence checklist, source notice",batch_5_seo_route_candidate,
completion-certificate-for-basement-conversion,/questions/completion-certificate-for-basement-conversion/,programmatic_question_page,basement-conversion-building-regulations,Completion certificate for Basement conversion,Completion certificate for Basement conversion,"Understand how the completion certificate stage normally works for basement conversion, what can delay it, and how to avoid missing documents.","Understand how the completion certificate stage normally works for basement conversion, what can delay it, and how to avoid missing documents.",homeowner_pre_project_check,England-first,govuk_building_regs_approval,govuk_building_regs_how_to_apply;govuk_approved_documents_collection,/projects/basement-conversion-building-regulations/;/tools/building-control-route-checker/;/downloads/,question_project_template_v1,medium,"project red flags, route advice, likely inspections, evidence checklist, source notice",batch_5_seo_route_candidate,
what-documents-do-i-need-for-basement-conversion,/questions/what-documents-do-i-need-for-basement-conversion/,programmatic_question_page,basement-conversion-building-regulations,What documents do I need for Basement conversion?,What documents do I need for Basement conversion?,"Prepare drawings, calculations, certificates, installer details and evidence for basement conversion.","Prepare drawings, calculations, certificates, installer details and evidence for basement conversion.",homeowner_pre_project_check,England-first,govuk_building_regs_approval,govuk_building_regs_how_to_apply;govuk_approved_documents_collection,/projects/basement-conversion-building-regulations/;/tools/building-control-route-checker/;/downloads/,question_project_template_v1,medium,"project red flags, route advice, likely inspections, evidence checklist, source notice",batch_5_seo_route_candidate,
common-building-regs-mistakes-basement-conversion,/questions/common-building-regs-mistakes-basement-conversion/,programmatic_question_page,basement-conversion-building-regulations,Common building regulations mistakes with Basement conversion,Common building regulations mistakes with Basement convers,"Avoid the common paperwork, inspection, structure, fire-safety and certificate mistakes on basement conversion.","Avoid the common paperwork, inspection, structure, fire-safety and certificate mistakes on basement conversion.",homeowner_pre_project_check,England-first,govuk_building_regs_approval,govuk_building_regs_how_to_apply;govuk_approved_documents_collection,/projects/basement-conversion-building-regulations/;/tools/building-control-route-checker/;/downloads/,question_project_template_v1,medium,"project red flags, route advice, likely inspections, evidence checklist, source notice",batch_5_seo_route_candidate,
do-i-need-building-regulations-for-underpinning,/questions/do-i-need-building-regulations-for-underpinning/,programmatic_question_page,underpinning-building-regulations,Do I need building regulations for Underpinning?,Do I need building regulations for Underpinning?,"Check whether underpinning usually needs building regulations approval, what route is safest, and what evidence to keep.","Check whether underpinning usually needs building regulations approval, what route is safest, and what evidence to keep.",homeowner_pre_project_check,England-first,govuk_building_regs_approval,govuk_building_regs_how_to_apply;govuk_approved_documents_collection,/projects/underpinning-building-regulations/;/tools/building-control-route-checker/;/downloads/,question_project_template_v1,medium,"project red flags, route advice, likely inspections, evidence checklist, source notice",batch_5_seo_route_candidate,
building-notice-or-full-plans-for-underpinning,/questions/building-notice-or-full-plans-for-underpinning/,programmatic_question_page,underpinning-building-regulations,Building notice or full plans for Underpinning?,Building notice or full plans for Underpinning?,"Compare building notice and full plans routes for underpinning, with red flags that should push the project toward full plans.","Compare building notice and full plans routes for underpinning, with red flags that should push the project toward full plans.",homeowner_pre_project_check,England-first,govuk_building_regs_approval,govuk_building_regs_how_to_apply;govuk_approved_documents_collection,/projects/underpinning-building-regulations/;/tools/building-control-route-checker/;/downloads/,question_project_template_v1,medium,"project red flags, route advice, likely inspections, evidence checklist, source notice",batch_5_seo_route_candidate,
building-control-inspections-for-underpinning,/questions/building-control-inspections-for-underpinning/,programmatic_question_page,underpinning-building-regulations,Building control inspections for Underpinning,Building control inspections for Underpinning,"See the likely inspection stages for underpinning, what to prepare before each visit, and what proof to keep.","See the likely inspection stages for underpinning, what to prepare before each visit, and what proof to keep.",homeowner_pre_project_check,England-first,govuk_building_regs_approval,govuk_building_regs_how_to_apply;govuk_approved_documents_collection,/projects/underpinning-building-regulations/;/tools/building-control-route-checker/;/downloads/,question_project_template_v1,medium,"project red flags, route advice, likely inspections, evidence checklist, source notice",batch_5_seo_route_candidate,
completion-certificate-for-underpinning,/questions/completion-certificate-for-underpinning/,programmatic_question_page,underpinning-building-regulations,Completion certificate for Underpinning,Completion certificate for Underpinning,"Understand how the completion certificate stage normally works for underpinning, what can delay it, and how to avoid missing documents.","Understand how the completion certificate stage normally works for underpinning, what can delay it, and how to avoid missing documents.",homeowner_pre_project_check,England-first,govuk_building_regs_approval,govuk_building_regs_how_to_apply;govuk_approved_documents_collection,/projects/underpinning-building-regulations/;/tools/building-control-route-checker/;/downloads/,question_project_template_v1,medium,"project red flags, route advice, likely inspections, evidence checklist, source notice",batch_5_seo_route_candidate,
what-documents-do-i-need-for-underpinning,/questions/what-documents-do-i-need-for-underpinning/,programmatic_question_page,underpinning-building-regulations,What documents do I need for Underpinning?,What documents do I need for Underpinning?,"Prepare drawings, calculations, certificates, installer details and evidence for underpinning.","Prepare drawings, calculations, certificates, installer details and evidence for underpinning.",homeowner_pre_project_check,England-first,govuk_building_regs_approval,govuk_building_regs_how_to_apply;govuk_approved_documents_collection,/projects/underpinning-building-regulations/;/tools/building-control-route-checker/;/downloads/,question_project_template_v1,medium,"project red flags, route advice, likely inspections, evidence checklist, source notice",batch_5_seo_route_candidate,
common-building-regs-mistakes-underpinning,/questions/common-building-regs-mistakes-underpinning/,programmatic_question_page,underpinning-building-regulations,Common building regulations mistakes with Underpinning,Common building regulations mistakes with Underpinning,"Avoid the common paperwork, inspection, structure, fire-safety and certificate mistakes on underpinning.","Avoid the common paperwork, inspection, structure, fire-safety and certificate mistakes on underpinning.",homeowner_pre_project_check,England-first,govuk_building_regs_approval,govuk_building_regs_how_to_apply;govuk_approved_documents_collection,/projects/underpinning-building-regulations/;/tools/building-control-route-checker/;/downloads/,question_project_template_v1,medium,"project red flags, route advice, likely inspections, evidence checklist, source notice",batch_5_seo_route_candidate,
do-i-need-building-regulations-for-rooflights,/questions/do-i-need-building-regulations-for-rooflights/,programmatic_question_page,rooflights-building-regulations,Do I need building regulations for Rooflights?,Do I need building regulations for Rooflights?,"Check whether rooflights usually needs building regulations approval, what route is safest, and what evidence to keep.","Check whether rooflights usually needs building regulations approval, what route is safest, and what evidence to keep.",homeowner_pre_project_check,England-first,govuk_building_regs_approval,govuk_building_regs_how_to_apply;govuk_approved_documents_collection,/projects/rooflights-building-regulations/;/tools/building-control-route-checker/;/downloads/,question_project_template_v1,medium,"project red flags, route advice, likely inspections, evidence checklist, source notice",batch_5_seo_route_candidate,
