slug,path,family,title,meta_title,meta_description,summary,jurisdiction,primary_source_id,source_category,priority,batch_status,needs_official_source_block,needs_cross_site_handoff,canonical_domain
building-notice-vs-full-plans-worksheet,/downloads/building-notice-vs-full-plans-worksheet/,download,Building notice vs full plans worksheet,Building notice vs full plans worksheet,Printable HTML-first checklist: Building notice vs full plans worksheet.,Printable HTML-first checklist: Building notice vs full plans worksheet.,England-first,govuk_building_regs_approval,download,high,batch_1_seed,True,False,https://buildingregsguide.co.uk
completion-certificate-record-sheet,/downloads/completion-certificate-record-sheet/,download,Completion certificate record sheet,Completion certificate record sheet,Printable HTML-first checklist: Completion certificate record sheet.,Printable HTML-first checklist: Completion certificate record sheet.,England-first,govuk_building_regs_approval,download,high,batch_1_seed,True,False,https://buildingregsguide.co.uk
competent-person-certificate-checklist,/downloads/competent-person-certificate-checklist/,download,Competent person certificate checklist,Competent person certificate checklist,Printable HTML-first checklist: Competent person certificate checklist.,Printable HTML-first checklist: Competent person certificate checklist.,England-first,govuk_building_regs_approval,download,high,batch_1_seed,True,False,https://buildingregsguide.co.uk
inspection-stage-record-sheet,/downloads/inspection-stage-record-sheet/,download,Inspection stage record sheet,Inspection stage record sheet,Printable HTML-first checklist: Inspection stage record sheet.,Printable HTML-first checklist: Inspection stage record sheet.,England-first,govuk_building_regs_approval,download,high,batch_1_seed,True,False,https://buildingregsguide.co.uk
structural-calculations-briefing-sheet,/downloads/structural-calculations-briefing-sheet/,download,Structural calculations briefing sheet,Structural calculations briefing sheet,Printable HTML-first checklist: Structural calculations briefing sheet.,Printable HTML-first checklist: Structural calculations briefing sheet.,England-first,govuk_building_regs_approval,download,high,batch_1_seed,True,False,https://buildingregsguide.co.uk
drainage-and-waste-checklist,/downloads/drainage-and-waste-checklist/,download,Drainage and waste checklist,Drainage and waste checklist,Printable HTML-first checklist: Drainage and waste checklist.,Printable HTML-first checklist: Drainage and waste checklist.,England-first,govuk_building_regs_approval,download,high,batch_1_seed,True,False,https://buildingregsguide.co.uk
windows-and-doors-certificate-checklist,/downloads/windows-and-doors-certificate-checklist/,download,Windows and doors certificate checklist,Windows and doors certificate checklist,Printable HTML-first checklist: Windows and doors certificate checklist.,Printable HTML-first checklist: Windows and doors certificate checklist.,England-first,govuk_building_regs_approval,download,high,batch_1_seed,True,False,https://buildingregsguide.co.uk
electrical-work-evidence-checklist,/downloads/electrical-work-evidence-checklist/,download,Electrical work evidence checklist,Electrical work evidence checklist,Printable HTML-first checklist: Electrical work evidence checklist.,Printable HTML-first checklist: Electrical work evidence checklist.,England-first,govuk_building_regs_approval,download,high,batch_1_seed,True,False,https://buildingregsguide.co.uk
heating-boiler-certificate-checklist,/downloads/heating-boiler-certificate-checklist/,download,Heating and boiler certificate checklist,Heating and boiler certificate checklist,Printable HTML-first checklist: Heating and boiler certificate checklist.,Printable HTML-first checklist: Heating and boiler certificate checklist.,England-first,govuk_building_regs_approval,download,high,batch_1_seed,True,False,https://buildingregsguide.co.uk
regularisation-evidence-pack,/downloads/regularisation-evidence-pack/,download,Regularisation evidence pack,Regularisation evidence pack,Printable HTML-first checklist: Regularisation evidence pack.,Printable HTML-first checklist: Regularisation evidence pack.,England-first,govuk_building_regs_approval,download,high,batch_1_seed,True,False,https://buildingregsguide.co.uk
approved-document-router-summary,/downloads/approved-document-router-summary/,download,Approved Document router summary,Approved Document router summary,Printable HTML-first checklist: Approved Document router summary.,Printable HTML-first checklist: Approved Document router summary.,England-first,govuk_building_regs_approval,download,high,batch_1_seed,True,False,https://buildingregsguide.co.uk
building-control-phone-call-script,/downloads/building-control-phone-call-script/,download,Building control phone call script,Building control phone call script,Printable HTML-first checklist: Building control phone call script.,Printable HTML-first checklist: Building control phone call script.,England-first,govuk_building_regs_approval,download,high,batch_1_seed,True,False,https://buildingregsguide.co.uk
builder-quote-building-regs-questions,/downloads/builder-quote-building-regs-questions/,download,Builder quote building regs questions,Builder quote building regs questions,Printable HTML-first checklist: Builder quote building regs questions.,Printable HTML-first checklist: Builder quote building regs questions.,England-first,govuk_building_regs_approval,download,high,batch_1_seed,True,False,https://buildingregsguide.co.uk
sale-remortgage-proof-folder,/downloads/sale-remortgage-proof-folder/,download,Sale/remortgage building regs proof folder,Sale/remortgage building regs proof folder,Printable HTML-first checklist: Sale/remortgage building regs proof folder.,Printable HTML-first checklist: Sale/remortgage building regs proof folder.,England-first,govuk_building_regs_approval,download,high,batch_1_seed,True,False,https://buildingregsguide.co.uk
garden-room-building-regs-checklist,/downloads/garden-room-building-regs-checklist/,download,Garden room building regs checklist,Garden room building regs checklist,Printable HTML-first checklist: Garden room building regs checklist.,Printable HTML-first checklist: Garden room building regs checklist.,England-first,govuk_building_regs_approval,download,high,batch_1_seed,True,False,https://buildingregsguide.co.uk
load-bearing-wall-removal-checklist,/downloads/load-bearing-wall-removal-checklist/,download,Load-bearing wall removal checklist,Load-bearing wall removal checklist,Printable HTML-first checklist: Load-bearing wall removal checklist.,Printable HTML-first checklist: Load-bearing wall removal checklist.,England-first,govuk_building_regs_approval,download,high,batch_1_seed,True,False,https://buildingregsguide.co.uk
rooflight-building-regs-checklist,/downloads/rooflight-building-regs-checklist/,download,Rooflight building regs checklist,Rooflight building regs checklist,Printable HTML-first checklist: Rooflight building regs checklist.,Printable HTML-first checklist: Rooflight building regs checklist.,England-first,govuk_building_regs_approval,download,high,batch_1_seed,True,False,https://buildingregsguide.co.uk
heat-pump-building-regs-evidence-sheet,/downloads/heat-pump-building-regs-evidence-sheet/,download,Heat pump building regs evidence sheet,Heat pump building regs evidence sheet,Printable HTML-first checklist: Heat pump building regs evidence sheet.,Printable HTML-first checklist: Heat pump building regs evidence sheet.,England-first,govuk_building_regs_approval,download,medium,batch_1_seed,True,False,https://buildingregsguide.co.uk
solar-panel-structure-electrical-checklist,/downloads/solar-panel-structure-electrical-checklist/,download,Solar panel structure and electrical checklist,Solar panel structure and electrical checklist,Printable HTML-first checklist: Solar panel structure and electrical checklist.,Printable HTML-first checklist: Solar panel structure and electrical checklist.,England-first,govuk_building_regs_approval,download,medium,batch_1_seed,True,False,https://buildingregsguide.co.uk
bathroom-building-regs-checklist,/downloads/bathroom-building-regs-checklist/,download,Bathroom building regs checklist,Bathroom building regs checklist,Printable HTML-first checklist: Bathroom building regs checklist.,Printable HTML-first checklist: Bathroom building regs checklist.,England-first,govuk_building_regs_approval,download,medium,batch_1_seed,True,False,https://buildingregsguide.co.uk
kitchen-building-regs-checklist,/downloads/kitchen-building-regs-checklist/,download,Kitchen building regs checklist,Kitchen building regs checklist,Printable HTML-first checklist: Kitchen building regs checklist.,Printable HTML-first checklist: Kitchen building regs checklist.,England-first,govuk_building_regs_approval,download,medium,batch_1_seed,True,False,https://buildingregsguide.co.uk
wales-scotland-source-checklist,/downloads/wales-scotland-source-checklist/,download,Wales/Scotland source checklist,Wales/Scotland source checklist,Printable HTML-first checklist: Wales/Scotland source checklist.,Printable HTML-first checklist: Wales/Scotland source checklist.,England-first,govuk_building_regs_approval,download,medium,batch_1_seed,True,False,https://buildingregsguide.co.uk
higher-risk-building-warning-sheet,/downloads/higher-risk-building-warning-sheet/,download,Higher-risk building warning sheet,Higher-risk building warning sheet,Printable HTML-first checklist: Higher-risk building warning sheet.,Printable HTML-first checklist: Higher-risk building warning sheet.,England-first,govuk_building_regs_approval,download,medium,batch_1_seed,True,False,https://buildingregsguide.co.uk
building-regs-project-file-index,/downloads/building-regs-project-file-index/,download,Building regs project file index,Building regs project file index,Printable HTML-first checklist: Building regs project file index.,Printable HTML-first checklist: Building regs project file index.,England-first,govuk_building_regs_approval,download,medium,batch_1_seed,True,False,https://buildingregsguide.co.uk
approved-document-version-record,/downloads/approved-document-version-record/,download,Approved Document version record,Approved Document version record,Printable HTML-first checklist: Approved Document version record.,Printable HTML-first checklist: Approved Document version record.,England-first,govuk_building_regs_approval,download,medium,batch_1_seed,True,False,https://buildingregsguide.co.uk
before-you-start-building-regs-checklist,/downloads/before-you-start-building-regs-checklist/,download,Before-you-start building regs checklist,Before-you-start building regs checklist,Printable HTML-first checklist: Before-you-start building regs checklist.,Printable HTML-first checklist: Before-you-start building regs checklist.,England-first,govuk_building_regs_approval,download,medium,batch_1_seed,True,False,https://buildingregsguide.co.uk
completion-day-handover-checklist,/downloads/completion-day-handover-checklist/,download,Completion day handover checklist,Completion day handover checklist,Printable HTML-first checklist: Completion day handover checklist.,Printable HTML-first checklist: Completion day handover checklist.,England-first,govuk_building_regs_approval,download,medium,batch_1_seed,True,False,https://buildingregsguide.co.uk
